frame,timestamp,yolo_detected,skeleton_extracted,skeleton_normalized,buffer_size,fall_probability,status
123,4.24,False,False,False,30,0.0,NORMAL
124,4.28,False,False,False,30,0.0,NORMAL
125,4.31,False,False,False,30,0.0,NORMAL
126,4.34,False,False,False,30,0.0,NORMAL
127,4.38,False,False,False,30,0.0,NORMAL
128,4.41,False,False,False,30,0.0,NORMAL
129,4.45,False,False,False,30,0.0,NORMAL
130,4.48,True,True,True,30,2.7,NORMAL
131,4.52,True,True,True,30,5.7,NORMAL
132,4.55,False,False,False,30,0.0,NORMAL
133,4.59,True,True,True,30,4.2,NORMAL
134,4.62,False,False,False,30,0.0,NORMAL
135,4.66,False,False,False,30,0.0,NORMAL
136,4.69,False,False,False,30,0.0,NORMAL
137,4.72,False,False,False,30,0.0,NORMAL
138,4.76,False,False,False,30,0.0,NORMAL
139,4.79,True,True,True,30,1.3,NORMAL
140,4.83,True,True,True,30,1.1,NORMAL
141,4.86,True,True,True,30,1.7,NORMAL
142,4.90,True,True,True,30,1.5,NORMAL
143,4.93,True,True,True,30,1.1,NORMAL
144,4.97,True,True,True,30,1.0,NORMAL
145,5.00,True,True,True,30,1.2,NORMAL
146,5.03,True,True,True,30,1.9,NORMAL
147,5.07,True,True,True,30,1.2,NORMAL
148,5.10,True,True,True,30,0.8,NORMAL
149,5.14,True,True,True,30,1.5,NORMAL
150,5.17,True,True,True,30,2.4,NORMAL
151,5.21,False,False,False,30,0.0,NORMAL
152,5.24,False,False,False,30,0.0,NORMAL
153,5.28,False,False,False,30,0.0,NORMAL
154,5.31,False,False,False,30,0.0,NORMAL
155,5.34,False,False,False,30,0.0,NORMAL
156,5.38,False,False,False,30,0.0,NORMAL
157,5.41,False,False,False,30,0.0,NORMAL
158,5.45,False,False,False,30,0.0,NORMAL
159,5.48,False,False,False,30,0.0,NORMAL
160,5.52,False,False,False,30,0.0,NORMAL
161,5.55,False,False,False,30,0.0,NORMAL
162,5.59,False,False,False,30,0.0,NORMAL
163,5.62,False,False,False,30,0.0,NORMAL
164,5.66,False,False,False,30,0.0,NORMAL
165,5.69,False,False,False,30,0.0,NORMAL
166,5.72,False,False,False,30,0.0,NORMAL
167,5.76,False,False,False,30,0.0,NORMAL
168,5.79,False,False,False,30,0.0,NORMAL
